J1, J2, J3, J4, J5, J6, ERROR, STEP_MM, STEP_DEG, MOVE_ID, TIME_S, X_TCP, Y_TCP, Z_TCP, SPEED_J1, SPEED_J2, SPEED_J3, SPEED_J4, SPEED_J5, SPEED_J6, ACCEL_J1, ACCEL_J2, ACCEL_J3, ACCEL_J4, ACCEL_J5, ACCEL_J6
-89.9999949, -81.9377224, -94.1496770, -93.9126006, 90.0000000, 0.0000051, 0.0000000, 5.3548883, 0.7072831, 32.0000000, 0.1000000, -163.8999464, -600.0369835, 681.4471570, 0.0000033, 4.5728305, -2.0119642, -2.5608663, 0.0000000, 0.0000033, 0.0000151, 20.7283050, -9.1200859, -11.6082192, 0.0000000, 0.0000151
-89.9999948, -81.8825615, -94.1739468, -93.9434916, 90.0000000, 0.0000052, 0.0000000, 0.6453950, 0.7624439, 32.0000000, 0.0469727, -163.8999460, -599.4318724, 681.6716015, 0.0000009, 1.1743174, -0.5166788, -0.6576386, 0.0000000, 0.0000009, -0.0000526, -72.3508221, 31.8330760, 40.5177461, 0.0000000, -0.0000526
-89.9999948, -81.8813766, -94.1744589, -93.9441645, 90.0000000, 0.0000052, 0.0000000, 0.0139012, 0.0011849, 32.0000000, 0.0097363, -163.8999460, -599.4188663, 681.6765092, 0.0000001, 0.1217038, -0.0525925, -0.0691113, 0.0000000, 0.0000001, -0.0000785, -108.1122832, 47.6655697, 60.4467134, 0.0000000, -0.0000785
-89.9999947, -81.6313766, -94.2805251, -94.0880983, 90.0000000, 0.0000053, 0.0000000, 2.9399001, 0.2500000, 33.0000000, 0.1000000, -163.8999443, -596.6725158, 682.7255904, 0.0000019, 2.5000000, -1.0606619, -1.4393381, 0.0000000, 0.0000019, 0.0000179, 23.7829625, -10.0806938, -13.7022687, 0.0000000, 0.0000179
-89.9999943, -81.1755649, -94.4739099, -94.3505252, 90.0000000, 0.0000057, 0.0000000, 5.3539469, 0.7058117, 33.0000000, 0.1000000, -163.8999412, -591.6603866, 684.6079582, 0.0000034, 4.5581165, -1.9338481, -2.6242684, 0.0000000, 0.0000034, 0.0000154, 20.5811651, -8.7318628, -11.8493023, 0.0000000, 0.0000154
-89.9999943, -81.1213026, -94.4969315, -94.3817659, 90.0000000, 0.0000057, 0.0000000, 0.6368307, 0.7600740, 33.0000000, 0.0465886, -163.8999409, -591.0633085, 684.8294331, 0.0000009, 1.1647142, -0.4941472, -0.6705670, 0.0000000, 0.0000009, -0.0000547, -72.8376638, 30.9024530, 41.9352108, 0.0000000, -0.0000547
-89.9999943, -81.1200658, -94.4974465, -94.3824877, 90.0000000, 0.0000057, 0.0000000, 0.0145539, 0.0012367, 33.0000000, 0.0099468, -163.8999409, -591.0496917, 684.8345712, 0.0000001, 0.1243346, -0.0517722, -0.0725624, 0.0000000, 0.0000001, -0.0000784, -104.5946901, 44.4742218, 60.1204683, 0.0000000, -0.0000784
-89.9999941, -80.8700658, -94.5995707, -94.5303635, 90.0000000, 0.0000059, 0.0000000, 2.9492257, 0.2500000, 34.0000000, 0.1000000, -163.8999391, -588.2946079, 685.8869237, 0.0000019, 2.5000000, -1.0212424, -1.4787576, 0.0000000, 0.0000019, 0.0000184, 23.7566535, -9.6947018, -14.0619517, 0.0000000, 0.0000184
-89.9999937, -80.4157963, -94.7851384, -94.7990653, 90.0000000, 0.0000063, 0.0000000, 5.3528812, 0.7042696, 34.0000000, 0.1000000, -163.8999361, -583.2834634, 687.7688824, 0.0000035, 4.5426956, -1.8556773, -2.6870182, 0.0000000, 0.0000035, 0.0000158, 20.4269557, -8.3443493, -12.0826064, 0.0000000, 0.0000158
-89.9999937, -80.3624653, -94.8069240, -94.8306107, 90.0000000, 0.0000063, 0.0000000, 0.6279115, 0.7576006, 34.0000000, 0.0461870, -163.8999357, -582.6947508, 687.9872635, 0.0000009, 1.1546753, -0.4716813, -0.6829939, 0.0000000, 0.0000009, -0.0000568, -73.3543950, 29.9650474, 43.3893476, 0.0000000, -0.0000568
